FIPS,name,trump,sanders,clinton,walker,carson,cruz,bush,other
1001,"Autauga County, Alabama",65.03320484,9.429640567,5.041699425,0.543934955,3.188693781,4.39922625,1.855795781,10.5078044
1003,"Baldwin County, Alabama",54.01044294,19.88464333,8.154311848,2.308120329,1.803059231,2.396055504,2.143098083,9.300268739
1005,"Barbour County, Alabama",64.97505587,1.529536192,7.713668022,4.194782667,1.17992792,3.910290437,2.016148458,14.48059043
1007,"Bibb County, Alabama",70.91616742,0,6.017722047,0,0,0,23.06611053,0
1009,"Blount County, Alabama",87.80746087,2.68203312,3.55068408,0.176370668,0.364632559,0.149575858,0.965666012,4.303576828
1011,"Bullock County, Alabama",94.12371058,5.876289424,0,0,0,0,0,0
1013,"Butler County, Alabama",81.08733552,1.52740832,1.175339143,13.43496945,0.611505893,0.335515374,0.335515374,1.492410932
1015,"Calhoun County, Alabama",47.20574493,10.93003346,17.17751642,4.168222251,4.308857382,5.814616901,0.432550077,9.962458582
1017,"Chambers County, Alabama",49.9422532,5.660500586,10.92118739,0.828351121,17.19743198,0.514087213,11.6670773,3.26911121
1019,"Cherokee County, Alabama",69.830118,15.04079652,2.389289769,1.903488585,2.436625033,0.774950157,1.139589755,6.485142172
1021,"Chilton County, Alabama",46.11295156,16.71912004,3.211365193,3.097279381,7.568958464,0,6.709382261,16.5809431
1023,"Choctaw County, Alabama",72.00169041,13.31450443,14.68380516,0,0,0,0,0
1025,"Clarke County, Alabama",64.52035283,0,0,0,0,0,13.93526176,21.54438541
1027,"Clay County, Alabama",100,0,0,0,0,0,0,0
1029,"Cleburne County, Alabama",53.74627995,0,0,0,46.25372005,0,0,0
1031,"Coffee County, Alabama",81.36166969,1.144732531,3.77522501,2.863415931,0.607066112,0.981813434,4.706456534,4.559620761
1033,"Colbert County, Alabama",17.18009344,47.1272912,34.15910057,0.047200802,0.30645184,0.044282363,0.466637514,0.668942265
1035,"Conecuh County, Alabama",90.90145394,0,0,0,0,9.098546061,0,0
1037,"Coosa County, Alabama",19.41693719,0,47.19789484,0,0,0,8.076206632,25.30896133
1039,"Covington County, Alabama",64.59453984,11.38833178,12.9996588,3.954601546,3.518723842,0.978322242,0.20192624,2.363895707
1041,"Crenshaw County, Alabama",36.56097562,2.467137053,33.99285807,0,5.508101322,0,0,21.47092794
1043,"Cullman County, Alabama",62.24145604,0.630890834,28.86050253,2.408617097,3.895228551,0.124324569,0.239010592,1.599969787
1045,"Dale County, Alabama",42.01047805,13.3659761,9.187425302,2.248617302,5.504204953,4.103108436,0,23.58018986
1047,"Dallas County, Alabama",12.97032064,4.707139592,1.492540998,0,77.75979311,0,1.375726355,1.694479303
1049,"De Kalb County, Alabama",64.09472793,5.203958841,6.02090955,1.833701406,1.691256653,2.359112905,2.387062738,16.40926997
1051,"Elmore County, Alabama",10.69703783,13.85690786,2.442531507,0.226413565,69.83926548,0.483729411,0.33692827,2.117186081
1053,"Escambia County, Alabama",29.48396189,9.353290194,3.607803302,6.860659682,0.647296374,4.561301892,34.73102426,10.75466241
1055,"Etowah County, Alabama",72.78430846,1.789480308,3.029607695,7.28729166,0.406836629,0.05004382,11.84295758,2.809473847
1057,"Fayette County, Alabama",52.52437017,12.13148673,12.35012911,2.095694977,0,2.081898521,2.033814061,16.78260643
1059,"Franklin County, Alabama",60.1107428,5.71549483,0,0,0,7.116328002,7.948658515,19.10877585
1061,"Geneva County, Alabama",53.68475707,2.679283458,9.332287937,6.14679496,8.802303798,2.44374542,0.488750262,16.4220771
1065,"Hale County, Alabama",47.71704759,0,13.15364364,6.819126076,11.02667103,0,0,21.28351167
1069,"Houston County, Alabama",50.03011815,6.358972644,7.399790169,1.903764312,16.3231421,3.171728289,3.265315351,11.54716899
1071,"Jackson County, Alabama",71.8405642,1.855523993,7.514419492,0.88541107,9.698110755,0.472155108,2.081574145,5.652241231
1073,"Jefferson County, Alabama",47.22166849,18.07673229,12.62790979,2.909320139,2.357974523,2.25707739,2.855299121,11.69401825
1075,"Lamar County, Alabama",100,0,0,0,0,0,0,0
1077,"Lauderdale County, Alabama",73.47437318,11.5727173,3.611035761,0.681130752,0.618095345,0.989533037,0.72363772,8.3294769
1079,"Lawrence County, Alabama",100,0,0,0,0,0,0,0
1081,"Lee County, Alabama",56.47846862,12.41499705,6.312605251,1.411646197,3.228356004,3.121459341,2.511003689,14.52146384
1083,"Limestone County, Alabama",45.24457225,20.63419557,3.132281406,0.511749658,2.63684486,4.873140635,4.714253578,18.25296204
1085,"Lowndes County, Alabama",75.30399116,9.373545368,5.106219178,3.381749013,0,0,0,6.834495276
1087,"Macon County, Alabama",76.37977072,0,6.590611091,0,5.207358786,0,6.344846773,5.477412629
1089,"Madison County, Alabama",42.34110594,11.62513048,6.036880444,4.49885065,8.106376308,3.438033735,2.735901044,21.2177214
1091,"Marengo County, Alabama",54.03599141,2.924696052,20.08948726,0,7.546957891,0,7.385076695,8.017790686
1093,"Marion County, Alabama",87.62787942,2.036394224,2.000851846,0.592305142,0.605302611,0.1877501,0.520200141,6.429316513
1095,"Marshall County, Alabama",24.13934684,3.431100645,6.202825912,0.509062767,1.672584369,1.352840215,2.666170846,60.02606841
1097,"Mobile County, Alabama",43.37890203,13.11411081,7.919368928,8.631580907,4.418311398,6.664656524,3.805568182,12.06750122
1099,"Monroe County, Alabama",71.30575096,3.626665732,6.914907593,3.942069332,1.886956235,1.972011586,0,10.35163856
1101,"Montgomery County, Alabama",47.02004297,6.348948821,8.649748884,4.540762668,10.07924417,9.97422635,2.464481622,10.92254452
1103,"Morgan County, Alabama",45.97170147,17.39933968,7.701944465,3.395539217,0.731908564,1.499815532,7.10679942,16.19295166
1105,"Perry County, Alabama",0,0,48.60896321,0,0,0,51.39103679,0
1107,"Pickens County, Alabama",59.29403245,12.09504906,17.47007677,0,11.14084173,0,0,0
1109,"Pike County, Alabama",30.31453731,17.18873824,6.312665508,1.372857615,34.00359493,4.154305956,1.925811526,4.727488907
1111,"Randolph County, Alabama",68.44811909,1.139116271,0.829738973,0.59897382,0,0.914004278,26.6543189,1.415728671
1113,"Russell County, Alabama",64.06775234,6.216725448,4.482785494,2.781438325,2.253318293,3.25355194,1.810708833,15.13371933
1115,"St Clair County, Alabama",60.64634588,2.310550936,2.267251028,1.398871894,22.24481462,0.307538822,3.299632937,7.524993884
1117,"Shelby County, Alabama",56.73089948,11.66619912,9.55884304,2.785841867,2.009415976,0.930437932,3.250388198,13.06797439
1119,"Sumter County, Alabama",89.06366398,3.629624615,1.970280401,0.632771869,0.821306246,0,0.191495306,3.690857586
1121,"Talladega County, Alabama",40.71211055,2.161523996,4.088585562,38.87335524,1.146751994,0.174606195,1.548678913,11.29438755
1123,"Tallapoosa County, Alabama",76.52980218,2.900469185,9.134785246,1.141985073,1.675257513,0.723580558,1.761617774,6.132502469
1125,"Tuscaloosa County, Alabama",58.03807291,3.639709404,5.981357194,2.754215643,0.573271026,0.905928671,14.69734565,13.4100995
1127,"Walker County, Alabama",54.58173473,1.573238866,8.218850555,0.426354581,27.5560689,0.364896954,0.210954864,7.06790055
1129,"Washington County, Alabama",59.22311529,0.900484912,4.616548897,7.765086566,0,4.374667767,3.490963015,19.62913355
1131,"Wilcox County, Alabama",48.45923356,0,51.54076644,0,0,0,0,0
1133,"Winston County, Alabama",72.52105315,2.672604747,1.405816498,0.400724762,1.049750477,0.665726531,1.074728862,20.20959497
2016,"Aleutians West County, Alaska",10.20859428,0,4.566979479,0,62.52742654,4.566979479,0,18.13002023
2020,"Anchorage County, Alaska",50.69981043,13.42042858,11.01364023,4.527871847,1.897621329,3.203984554,3.002567425,12.2340756
2050,"Bethel County, Alaska",18.04560085,23.86170447,27.2477379,0,7.893003566,0,0,22.95195322
2060,"Bristol Bay County, Alaska",80.73485885,3.283065575,9.268967309,0,0,0,0,6.71310827
2068,"Denali County, Alaska",0,7.702856439,55.75214749,0,36.54499607,0,0,0
2070,"Dillingham County, Alaska",88.72862457,11.27137543,0,0,0,0,0,0
2090,"Fairbanks North Star County, Alaska",48.00031604,18.97799066,7.486446516,4.438416898,1.017968867,2.073197557,1.511515691,16.49414776
2100,"Haines County, Alaska",25.0917901,35.33876289,0.953267078,11.38394611,0,2.533501142,10.11976824,14.57896444
2110,"Juneau County, Alaska",35.71624069,23.12742707,6.458431209,6.831734054,2.603180269,5.5488873,1.368391739,18.34570767
2122,"Kenai Peninsula County, Alaska",44.26685282,8.056351335,8.608333918,3.437722077,1.279596164,1.229239835,0.602024021,32.51987983
2130,"Ketchikan Gateway County, Alaska",63.13662402,11.64699777,7.502343491,1.833867018,1.091456895,5.305664703,1.119926939,8.363119166
2150,"Kodiak Island County, Alaska",35.02543505,10.94912666,8.748524978,0.936712038,0.671071181,12.55688312,4.098963491,27.01328348
2170,"Matanuska Susitna County, Alaska",45.18991009,2.129007422,1.693374366,0.803501843,13.83599636,0.367779864,0.244183902,35.73624616
2180,"Nome County, Alaska",68.90615782,0,9.34241166,0,0,8.213195404,0,13.53823512
2185,"North Slope County, Alaska",38.2338092,42.12149295,0,0,19.64469785,0,0,0
2188,"Northwest Arctic County, Alaska",40.96188095,0,24.67894211,34.35917694,0,0,0,0
2201,"Prince Wales Ketchikan County, Alaska",18.68327289,55.27259151,11.91634125,5.343117427,0,2.942267533,0,5.842409392
2220,"Sitka County, Alaska",46.45619534,17.48852757,7.746949932,5.384395538,4.545744231,0.431815976,2.52408632,15.42228509
2232,"Skagway Hoonah Angoon County, Alaska",31.68723676,6.43505721,11.24727812,6.20267371,0,33.35887544,0,11.06887876
2240,"Southeast Fairbanks County, Alaska",100,0,0,0,0,0,0,0
2261,"Valdez Cordova County, Alaska",62.95332804,1.489237787,28.85344335,0.167286665,0,0,0.762246843,5.774457319
2280,"Wrangell Petersburg County, Alaska",59.28215061,8.296259923,17.12347792,4.886338729,0,1.607733243,4.84346132,3.960578255
4001,"Apache County, Arizona",54.98228666,1.963788719,34.36650702,0.303523611,0.280239313,0.184109467,3.526812318,4.392732886
4003,"Cochise County, Arizona",55.12578619,10.65887583,13.6429326,3.388859929,0.813312551,2.758416135,1.466631439,12.14518532
4005,"Coconino County, Arizona",42.38256565,10.00326671,33.12629657,1.97908371,1.074253039,2.178693273,4.997143731,4.258697315
4007,"Gila County, Arizona",49.30526823,12.62261429,15.15157367,10.01174335,0.606414873,1.023359169,1.566670039,9.712356378
4009,"Graham County, Arizona",46.5033924,20.76418561,4.531440994,2.250419037,13.38173621,0.616821472,6.809530262,5.14247401
4011,"Greenlee County, Arizona",86.96707329,8.345037371,0,0,0,4.687889342,0,0
4012,"La Paz County, Arizona",56.21628772,13.69419797,1.23305492,10.24262951,2.542269475,6.388996412,4.560338908,5.12222509
4013,"Maricopa County, Arizona",56.7427182,16.28591664,7.705947179,3.805210254,1.273364199,2.628836289,1.865137075,9.692870166
4015,"Mohave County, Arizona",61.31304428,7.046852561,10.09673852,1.801575054,0.948829629,2.441980668,4.710643645,11.64033565
4017,"Navajo County, Arizona",65.30869684,10.59289893,3.910103932,2.376391599,1.033087448,0.777407531,3.025262749,12.97615098
4019,"Pima County, Arizona",47.6960067,21.53119324,9.720746855,3.736014593,1.773236025,1.954721359,3.259684948,10.32839628
4021,"Pinal County, Arizona",56.74960729,7.280554652,8.785256866,2.509015438,3.006716343,3.563670383,5.764976747,12.34020228
4023,"Santa Cruz County, Arizona",53.24975126,0.20769165,28.2430776,17.85508031,0,0.091173529,0.173395854,0.179829798
4025,"Yavapai County, Arizona",50.63627612,14.85757997,10.12822128,3.829354957,1.286127516,4.251235916,2.74961624,12.26158799
4027,"Yuma County, Arizona",72.27715076,6.519686697,5.161033698,1.32474191,0.556494594,1.68560306,2.463270093,10.01201919
5001,"Arkansas County, Arkansas",29.10968702,20.46313447,6.37744683,1.531926604,6.062468858,0,0,36.45533622
5003,"Ashley County, Arkansas",98.21991199,0.932862622,0.847225391,0,0,0,0,0
5005,"Baxter County, Arkansas",23.60093614,5.716238852,9.450252111,1.053393948,0.729226796,1.185881274,1.27509052,56.98898035
5007,"Benton County, Arkansas",60.89494333,9.60824058,8.562666159,2.276515363,1.629429452,1.721188976,2.087423064,13.21959307
5009,"Boone County, Arkansas",100,0,0,0,0,0,0,0
5011,"Bradley County, Arkansas",45.83221619,0,0,0,0,0,54.16778381,0
5013,"Calhoun County, Arkansas",49.36176945,6.015503138,11.53137594,4.546488733,0,0,0,28.54486275
5015,"Carroll County, Arkansas",80.14191903,2.321717907,9.588532418,0.994398832,0,0.250722832,2.006095561,4.696613416
5017,"Chicot County, Arkansas",47.70732203,18.89253851,18.69945567,14.70068378,0,0,0,0
5019,"Clark County, Arkansas",76.31876337,1.39361325,1.504199925,0,0,4.880625065,3.255249808,12.64754858
5021,"Clay County, Arkansas",61.58235002,0,0,13.97276041,0,0,19.26009786,5.184791712
5023,"Cleburne County, Arkansas",49.64578772,8.890081974,16.76157759,0.263844857,0.706505673,0.824424449,5.787711527,17.12006621
5025,"Cleveland County, Arkansas",55.12049804,8.455408492,0,0,19.3069578,0,8.558567831,8.558567831
5027,"Columbia County, Arkansas",87.30547687,2.455496956,2.193953197,0.783122696,0.330164294,2.358797196,0.365623866,4.207364923
5029,"Conway County, Arkansas",93.05802262,4.422417065,1.178336605,0,1.341223713,0,0,0
5031,"Craighead County, Arkansas",42.45961475,3.425842533,46.55605384,0.567380218,1.012073086,1.242663539,0.912756136,3.823615895
5033,"Crawford County, Arkansas",50.44026274,15.42622041,11.66143474,2.52515466,1.368414355,7.670288256,2.105528459,8.802696381
5035,"Crittenden County, Arkansas",30.42442761,5.582635933,11.20910562,0.956436308,0.921171566,1.255613031,42.06405878,7.586551145
5037,"Cross County, Arkansas",100,0,0,0,0,0,0,0
5039,"Dallas County, Arkansas",100,0,0,0,0,0,0,0
5041,"Desha County, Arkansas",82.28973941,0,0,0,0,0,0,17.71026059
5045,"Faulkner County, Arkansas",39.85160107,12.26917622,25.50508451,0.884401606,0.358595868,4.336717474,1.356990923,15.43743233
5047,"Franklin County, Arkansas",33.23049208,26.37460381,11.26668051,5.91265008,4.805506147,2.470380169,5.204136121,10.73555108
5049,"Fulton County, Arkansas",62.28931469,0,23.97622726,2.33869264,3.03420064,0,2.370296703,5.991268065
5051,"Garland County, Arkansas",39.25532179,4.696744755,36.27951195,2.206014221,2.176431103,0.983491989,1.771287351,12.63119684
5053,"Grant County, Arkansas",56.92147872,12.49651057,5.274446239,0.218491216,5.091874769,0.974793834,2.289288988,16.73311566
5055,"Greene County, Arkansas",40.29254719,3.721305781,41.41088922,0.277456443,0.657906214,0.602684944,9.92537182,3.111838384
5057,"Hempstead County, Arkansas",60.69817486,0.530304195,6.368401328,3.359822436,0,0,0,29.04329718
5059,"Hot Spring County, Arkansas",36.10137151,6.156772653,3.94923079,0.829399838,2.356901422,1.047567181,1.6107598,47.94799681
5061,"Howard County, Arkansas",9.199230435,9.839612067,5.401045778,2.421790016,13.50464093,2.806954868,5.516854345,51.30987157
5063,"Independence County, Arkansas",79.61222485,0,0,20.38777515,0,0,0,0
5065,"Izard County, Arkansas",79.34082778,0,20.65917222,0,0,0,0,0
5067,"Jackson County, Arkansas",17.45275191,1.690553411,6.443581411,0,3.522924601,1.630308289,0,69.25988038
5069,"Jefferson County, Arkansas",25.08810007,10.16616004,7.090013427,1.490005107,2.091423827,0.617200198,2.396624445,51.06047288
5071,"Johnson County, Arkansas",46.36764979,12.05198729,8.192237689,5.287007571,10.11449754,17.98662012,0,0
5073,"Lafayette County, Arkansas",0,1.589243064,0,0,0,0,0,98.41075694
5075,"Lawrence County, Arkansas",91.29089859,0,0,0,0,0,0,8.709101412
5077,"Lee County, Arkansas",25,25,25,0,0,0,0,25
5079,"Lincoln County, Arkansas",0,0,0,100,0,0,0,0
5081,"Little River County, Arkansas",42.86548883,21.5031954,6.915072268,0,0,0,6.915072268,21.80117123
5083,"Logan County, Arkansas",10.05638039,0,0,0,0,0,12.72740559,77.21621403
5085,"Lonoke County, Arkansas",84.99191579,2.649624906,5.053105776,1.744759346,0.295969919,1.295147532,0.125162184,3.84431455
5087,"Madison County, Arkansas",66.02141614,10.26507711,6.297755939,0,0,4.318797497,6.018938271,7.078015043
5089,"Marion County, Arkansas",61.95605609,1.175579358,12.64191076,0,0,1.047267883,0,23.17918591
5091,"Miller County, Arkansas",77.58088662,4.835051323,3.459716421,0.683827174,1.261492984,1.166918511,5.4152369,5.596870065
5093,"Mississippi County, Arkansas",42.93294547,1.505996027,1.992306462,0.28219669,1.426370891,0.270122781,3.229857766,48.36020391
5095,"Monroe County, Arkansas",0,0,100,0,0,0,0,0
5097,"NA County, NA",46.52718999,0,0,7.799911544,0,0,0,45.67289847
5099,"Nevada County, Arkansas",0,0,0,0,0,0,0,100
5101,"Newton County, Arkansas",0,0,0,0,0,0,0,100
5103,"Ouachita County, Arkansas",71.12567358,0,10.54246631,4.245979817,0,3.532075375,3.51412363,7.039681281
5105,"Perry County, Arkansas",71.97623964,0,14.50352637,0,2.911351498,0,10.60888249,0
5107,"Phillips County, Arkansas",71.74437082,15.16518088,4.809078263,4.199617613,0,0,0,4.081752424
5111,"Poinsett County, Arkansas",67.13902182,0,2.35264984,0,0,0,28.32632033,2.182008006
5113,"Polk County, Arkansas",57.97999535,7.756069948,13.83839201,0,3.569891797,4.380304953,3.882933942,8.592411993
5115,"Pope County, Arkansas",89.46581888,1.64685189,1.142267393,0.213764562,0.199193243,0.216298147,0.299129656,6.816676224
